Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 32643,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Missouri,Wayne,Williamsville, , ,36.97111,-91.54944, ,1000,09/03/1948, ,E.C. Becker, , , , , , , ,20, , , , , , ,Vial,1/18/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32644,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,simulans, ,Ross,1938,United States,Missouri,Wayne,Williamsville, , ,36.97111,-91.54944, ,1000,07/16/1948, ,E.C. Becker, , , , , , , ,3, , , , , , ,Vial,1/18/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32201,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,De Kalb,Sycamore, ,Trib of South Kishwaukee River,41.9803,-88.681, ,10000,05/11/1938, ,"H.H. Ross, B.D. Burks", , ,H.H. Ross,1938, , , , , , , , , , ,Vial,1/5/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 32203,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Quiver Creek,40.35365,-90.02104, ,1000,04/29/1937, ,"H.H. Ross, C.O. Mohr", , ,H.H. Ross,1938, , , , ,2, , , , , ,Vial,1/5/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 32209,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Michigan,Kalamazoo,nr Hickory Corners,Gull Lake Biological Station,Gull Lake,42.39236,-85.39504, ,10000,08/27/1969, ,K.W. Cummins, , , , , , , ,27, , , , , , ,Vial,1/5/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 32210,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Michigan,Kalamazoo,nr Hickory Corners,Gull Lake Biological Station,Gull Lake,42.39236,-85.39504, ,10000,08/27/1969, ,K.W. Cummins, , , , , , ,8, , , , , , , ,Vial,1/5/2000 12:00:00 AM,3/29/2012 12:00:00 AM
Trichoptera 31193,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,De Witt,Weldon Srings St. Pk., , ,40.1206,-88.9244, ,10000,05/21/1935, ,"T.H. Frison, H.H. Ross", , ,H.H. Ross,1945, , , , , ,7, , , , ,Vial,1/8/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 31196,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Illinois,Mason,Havana, ,Illinois River,40.29444,-90.06885, ,1000,05/21/1935, ,"T.H. Frison, H.H. Ross", , ,H.H. Ross,1945, , , , , ,3, , , , ,Vial,1/8/2000 12:00:00 AM,8/25/2011 12:00:00 AM
Trichoptera 31199,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,incommoda, ,HA Hagen,1861,United States,Illinois,Kane,East Dundee, ,Fox River,42.0978,-88.2756, ,1000,05/23/1939, ,"B.D. Burks, G.T. Riegel", , ,H.H. Ross,1939, , ,4, , , , , , , ,Vial,1/8/2000 12:00:00 AM,11/7/2013 12:00:00 AM
Trichoptera 32315,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,incommoda, ,HA Hagen,1861,United States,Illinois,Kankakee,Kankakee River at Indiana state line, ,Kankakee River,41.16566,-87.52683, ,1000,06/01/1937, ,B.D. Burks, , ,H.H. Ross,1941, , ,1, , , , , , , ,Vial,1/9/2000 12:00:00 AM,11/7/2013 12:00:00 AM
Trichoptera 32242,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche,Hydropsyche,betteni, ,Ross,1938,United States,Missouri,Iron,Annapolis, ,Champion Springs,37.36028,-90.6975, ,10000,04/10/1950, ,G.A. Ulrich, , , , , , , , , ,7, , , , ,Vial,1/8/2000 12:00:00 AM,3/29/2012 12:00:00 AM
